Date,Gender,WeightGroupMap,WeightClass,Location,label,Fighter,Odds,ExpectedValue,CurrentLoseStreak,CurrentWinStreak,Draws,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,LongestWinStreak,Losses,TotalRoundsFought,TotalTitleBouts,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage,Wins,Stance,HeightCms,ReachCms,WeightLbs,Age,Year,Corner,Win,Record,WinRatio,WinRatioPercentage,FinishRate,ExpPerAge,HeightReachRatio,WinsByDecision,DecisionRate
2024-12-14,MALE,Medium,Welterweight,"Tampa, Florida, USA",1,Joaquin Buckley,-250.0,40.0,0,5,0,4.13,0.36,0.0,1.96,0.46,5,4,34,0,0,1,2,7,0,0,10,Southpaw,177.8,193.04,170,30,2024,Blue,Yes,10-4-0,0.7142857142857143,71.4%,0.7,1.1333333333333333,0.9210526315789475,3,0.3
2024-12-14,MALE,Light,Featherweight,"Tampa, Florida, USA",0,Billy Quarantillo,-148.0,67.5676,1,0,0,7.36,0.56,1.1,1.24,0.23,4,4,28,0,0,0,2,4,1,0,7,Orthodox,177.8,177.8,145,36,2024,Blue,No,7-4-0,0.6363636363636364,63.6%,0.7142857142857143,0.7777777777777778,1.0,2,0.2857142857142857
2024-12-14,MALE,Light,Flyweight,"Tampa, Florida, USA",0,Bruno Silva,310.0,310.0,0,4,0,3.32,0.48,0.2,2.26,0.28,4,2,16,0,0,0,0,3,1,0,4,Orthodox,162.56,165.1,125,34,2024,Blue,No,4-2-0,0.6666666666666666,66.7%,1.0,0.47058823529411764,0.9846153846153847,0,0.0
2024-12-14,MALE,Heavy,Light Heavyweight,"Tampa, Florida, USA",1,Dustin Jacoby,270.0,270.0,2,0,1,5.5,0.47,0.0,0.36,0.25,4,6,35,0,0,0,4,4,0,0,8,Orthodox,190.5,193.04,205,36,2024,Blue,Yes,8-6-1,0.5714285714285714,57.1%,0.5,0.9722222222222222,0.986842105263158,4,0.5
2024-12-14,MALE,Light,Bantamweight,"Tampa, Florida, USA",1,Daniel Marcos,-225.0,44.4444,0,4,0,5.94,0.52,0.0,0.25,0.5,4,0,13,0,0,1,2,1,0,0,4,Orthodox,170.18,175.26,135,31,2024,Blue,Yes,4-0-0,1.0,100.0%,0.25,0.41935483870967744,0.9710144927536233,3,0.75
2024-12-14,MALE,Heavy,Light Heavyweight,"Tampa, Florida, USA",0,Tuco Tokkos,525.0,525.0,2,0,0,3.26,0.43,0.0,1.96,1.0,0,2,2,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,205,34,2024,Blue,No,0-2-0,0.0,0.0%,0.0,0.058823529411764705,1.0,0,0.0
2024-12-14,MALE,Light,Lightweight,"Tampa, Florida, USA",0,Ottman Azaitar,190.0,190.0,2,0,0,5.73,0.51,0.0,0.0,0.0,2,2,4,0,0,0,0,2,0,0,2,Switch,172.72,180.34,155,34,2024,Blue,No,2-2-0,0.5,50.0%,1.0,0.11764705882352941,0.9577464788732394,0,0.0
2024-12-14,MALE,Light,Lightweight,"Tampa, Florida, USA",0,Drakkar Klose,330.0,330.0,0,4,0,4.37,0.55,0.0,1.58,0.26,4,2,29,0,0,1,6,2,0,0,9,Orthodox,175.26,177.8,155,36,2024,Blue,No,9-2-0,0.8181818181818182,81.8%,0.2222222222222222,0.8055555555555556,0.9857142857142857,7,0.7777777777777778
2024-12-14,MALE,Light,Featherweight,"Tampa, Florida, USA",0,Fernando Padilla,130.0,130.0,0,1,0,6.48,0.42,0.8,0.0,0.0,1,1,5,0,0,0,0,1,1,0,2,Orthodox,185.42,193.04,145,27,2024,Blue,No,2-1-0,0.6666666666666666,66.7%,1.0,0.18518518518518517,0.9605263157894737,0,0.0
2024-12-14,MALE,Light,Featherweight,"Tampa, Florida, USA",1,Felipe Lima,-258.0,38.7597,0,1,0,3.29,0.52,1.3,1.33,0.5,1,0,3,0,0,0,0,0,1,0,1,Orthodox,167.64,172.72,145,26,2024,Blue,Yes,1-0-0,1.0,100.0%,1.0,0.11538461538461539,0.9705882352941175,0,0.0
