RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FightStance,label
Colby Covington,Joaquin Buckley,205.0,-250.0,205.0,40.0,2024-12-14,"Tampa, Florida, USA",USA,False,Welterweight,MALE,5,0,5,0,5,4,34,0,0,1,2,7,0,0,10,Southpaw,177.8,193.04,170.0,1,0,0,7,4,58,4,0,0,7,3,2,0,12,Orthodox,180.34,182.88,170.0,36.0,30.0,-1,5,-2,-2,0,-24,-4,4,-2,-2.54,10.16,-6,0.25,-0.2,-1.83,Red,KO/TKO,Open Stance,1
Cub Swanson,Billy Quarantillo,124.0,-148.0,124.0,67.5676,2024-12-14,"Tampa, Florida, USA",USA,False,Featherweight,MALE,3,1,0,0,4,4,28,0,0,0,2,4,1,0,7,Orthodox,177.8,177.8,145.0,1,0,0,6,13,82,0,0,1,10,6,2,0,19,Orthodox,172.72,177.8,145.0,41.0,36.0,0,0,-2,-12,-9,-54,0,-2,-1,5.08,0.0,-5,2.69,0.7,0.2,neither,KO/TKO,Closed Stance,0
Manel Kape,Bruno Silva,-395.0,310.0,25.3165,310.0,2024-12-14,"Tampa, Florida, USA",USA,False,Flyweight,MALE,3,0,4,0,4,2,16,0,0,0,0,3,1,0,4,Orthodox,162.56,165.1,125.0,1,0,0,4,3,17,0,0,0,2,2,0,0,4,Southpaw,165.1,172.72,125.0,31.0,34.0,-1,4,0,0,-1,-1,0,1,1,-2.54,-7.62,3,-1.12,-0.2,1.72,Red,KO/TKO,Open Stance,0
Vitor Petrino,Dustin Jacoby,-340.0,270.0,29.4118,270.0,2024-12-14,"Tampa, Florida, USA",USA,False,Light Heavyweight,MALE,3,2,0,1,4,6,35,0,0,0,4,4,0,0,8,Orthodox,190.5,193.04,205.0,1,0,0,5,1,14,0,0,0,2,2,1,0,5,Orthodox,187.96,195.58,205.0,27.0,36.0,1,0,-1,3,5,21,0,2,-1,2.54,-2.54,9,2.68,-0.8,-3.62,neither,KO/TKO,Closed Stance,1
Adrian Yanez,Daniel Marcos,185.0,-225.0,185.0,44.4444,2024-12-14,"Tampa, Florida, USA",USA,False,Bantamweight,MALE,3,0,4,0,4,0,13,0,0,1,2,1,0,0,4,Orthodox,170.18,175.26,135.0,0,1,0,6,2,15,0,0,1,0,6,0,0,7,Orthodox,170.18,177.8,135.0,31.0,31.0,0,3,-2,-3,-2,-2,0,-5,0,0.0,-2.54,0,-0.57,0.0,0.25,neither,S-DEC,Closed Stance,1
Navajo Stirling,Tuco Tokkos,-750.0,525.0,13.3333,525.0,2024-12-14,"Tampa, Florida, USA",USA,False,Light Heavyweight,MALE,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,205.0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,193.04,200.66,205.0,27.0,34.0,2,-1,-1,-1,2,0,0,-1,0,0.0,-7.62,7,-3.81,0.0,1.96,neither,U-DEC,Closed Stance,0
Michael Johnson,Ottman Azaitar,-230.0,190.0,43.4783,190.0,2024-12-14,"Tampa, Florida, USA",USA,False,Lightweight,MALE,3,2,0,0,2,2,4,0,0,0,0,2,0,0,2,Switch,172.72,180.34,155.0,0,1,0,4,15,74,1,0,1,8,5,0,0,14,Southpaw,177.8,185.42,155.0,38.0,34.0,2,-1,-2,-12,-13,-70,-1,-3,0,-5.08,-5.08,-4,1.46,0.0,-0.62,neither,KO/TKO,Open Stance,0
Joel Alvarez,Drakkar Klose,-425.0,330.0,23.5294,330.0,2024-12-14,"Tampa, Florida, USA",USA,False,Lightweight,MALE,3,0,4,0,4,2,29,0,0,1,6,2,0,0,9,Orthodox,175.26,177.8,155.0,0,2,0,4,2,15,0,0,0,0,3,3,0,6,Orthodox,190.5,195.58,155.0,31.0,36.0,0,2,0,3,0,14,0,-1,-3,-15.24,-17.78,5,-0.02,-1.2,1.58,neither,KO/TKO,Closed Stance,0
Sean Woodson,Fernando Padilla,-155.0,130.0,64.5161,130.0,2024-12-14,"Tampa, Florida, USA",USA,False,Featherweight,MALE,3,0,1,0,1,1,5,0,0,0,0,1,1,0,2,Orthodox,185.42,193.04,145.0,0,5,1,3,1,24,0,0,2,3,2,0,0,7,Orthodox,187.96,198.12,145.0,32.0,27.0,0,-4,-2,-5,0,-19,0,-1,1,-2.54,-5.08,-5,0.9,0.4,-0.66,neither,KO/TKO,Closed Stance,0
Miles Johns,Felipe Lima,210.0,-258.0,210.0,38.7597,2024-12-14,"Tampa, Florida, USA",USA,False,Featherweight,MALE,3,0,1,0,1,0,3,0,0,0,0,0,1,0,1,Orthodox,167.64,172.72,145.0,0,3,0,3,2,29,0,0,1,4,2,0,0,7,Orthodox,170.18,167.64,145.0,30.0,26.0,0,-2,-2,-6,-2,-26,0,-2,1,-2.54,5.08,-4,0.01,1.3,0.31,neither,U-DEC,Closed Stance,1
