NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,label,Gender_MALE,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_OpenStance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,RedStance_OpenStance,BetterRank_Red,BetterRank_Blue,BetterRank_neither,FinishRate,WinRatio,ExpPerYear,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate
5,-1,5,-2,-2,0,-24,-4,4,-2,-2.54,10.16,-6,1,1,0,1,0,0,1,0,0,0,1,0,0,0.28333333333333327,-0.0357142857142857,-0.47777777777777786,0.9473684210526316,-0.0650584795321637,-4,-0.2833333333333334
3,0,0,-2,-12,-9,-54,0,-2,-1,5.08,0.0,-5,0,1,1,0,0,0,1,0,0,0,0,0,1,0.29323308270676696,0.042613636363636354,-1.2222222222222223,1.0,0.028571428571428692,-9,-0.29323308270676696
3,-1,4,0,0,-1,-1,0,1,1,-2.54,-7.62,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0.5,0.09523809523809523,-0.07779886148007586,1.0461538461538462,0.028733031674208265,-2,-0.5
3,1,0,-1,3,5,21,0,2,-1,2.54,-2.54,9,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.09999999999999998,-0.261904761904762,0.4537037037037037,1.0131578947368423,0.02580314422419694,2,0.09999999999999998
3,0,3,-2,-3,-2,-2,0,-5,0,0.0,-2.54,0,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.6071428571428571,0.2222222222222222,-0.06451612903225806,1.0144927536231885,0.013871635610766209,2,0.6071428571428572
3,2,-1,-1,-1,2,0,0,-1,0,0.0,-7.62,7,0,1,1,0,0,0,1,0,0,0,0,0,1,-1.0,-1.0,-0.015250544662309365,1.0394736842105263,0.03797468354430378,0,0.0
3,2,-1,-2,-12,-13,-70,-1,-3,0,-5.08,-5.08,-4,0,1,0,0,1,0,0,1,0,0,0,0,1,0.6428571428571428,0.017241379310344807,-1.8297213622291022,1.028169014084507,-0.0011576307158018828,-9,-0.6428571428571429
3,0,2,0,3,0,14,0,-1,-3,-15.24,-17.78,5,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.7777777777777778,0.06818181818181823,0.3216845878136201,1.1,0.011688311688311637,7,0.7777777777777778
3,0,-4,-2,-5,0,-19,0,-1,1,-2.54,-5.08,-5,0,1,1,0,0,0,1,0,0,0,0,0,1,0.7142857142857143,-0.20833333333333337,-0.5648148148148149,1.0263157894736843,0.011808367071524883,-5,-0.7142857142857143
3,0,-2,-2,-6,-2,-26,0,-2,1,-2.54,5.08,-4,1,1,1,0,0,0,1,0,0,0,0,0,1,0.7142857142857143,0.2222222222222222,-0.8512820512820513,0.9705882352941175,-0.04456327985739783,-5,-0.7142857142857143
3,0,-2,-2,-5,-2,-18,0,-1,-2,10.16,2.54,7,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.42857142857142855,-0.033333333333333326,-0.7352941176470589,0.9848484848484849,0.04592074592074602,-2,0.4285714285714286
3,-1,2,-1,-4,-5,-27,-1,-2,-1,0.0,2.54,-8,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.16666666666666663,0.16666666666666663,-0.6754385964912281,0.9857142857142857,-0.014078674948240333,-1,0.16666666666666669
3,2,-4,-1,-1,2,1,0,0,0,0.0,7.62,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,-0.4,-0.022321428571428548,0.9523809523809523,-0.050000000000000044,-1,0.0
5,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.5,-0.8,-1.2352941176470589,0.9710144927536233,0.015357992645468443,-6,-0.5
3,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.625,0.0,0.37407407407407406,1.0405405405405406,0.06546156546156545,5,0.625
3,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.08333333333333326,-0.06818181818181823,0.2516339869281047,1.0125000000000002,0.04922839506172849,2,0.08333333333333337
3,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,0,1,0,1,0,0,0,1,0,0,1,0,0,0.8571428571428572,-0.4444444444444445,-0.5388888888888889,1.0,-0.014285714285714346,-6,-0.8571428571428571
3,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,1,1,1,0,0,0,1,0,0,0,0,0,1,0.4,-0.0535714285714286,-0.01767676767676768,1.0285714285714285,0.04166666666666674,-2,-0.4
3,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0.1523809523809524,-0.08080808080808077,1.1323529411764706,1.0131578947368423,0.012987012987013102,0,-0.15238095238095237
3,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.6166666666666667,0.08571428571428574,-1.0606060606060606,0.974025974025974,0.0013852813852812673,1,0.6166666666666667
