LoseStreakDif,WinStreakDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,FightStance,WeightGroup,FinishRateDif,WinRateDif,ExpPerAgeDif,HeightReachRatioDif,DecisionRateDif,IsFiveRoundFight,OddsDif,label
0,1,0,1,0,2.539999999999992,2.539999999999992,2,0.4,-0.4,-4.0,Closed Stance,Light,0.2,-0.16666666666666663,0.10727969348659006,0.0009512937595129722,-0.19999999999999996,False,428.0,0
1,-2,0,0,0,-2.539999999999992,-2.5400000000000205,-2,-1.23,1.3,0.46,Closed Stance,Light,0.0,-0.18518518518518523,-0.025482625482625487,-0.0004140786749480263,0.0,False,-284.0,0
0,-3,0,0,5,-2.539999999999992,-15.240000000000009,5,-2.04,0.6,0.4,Closed Stance,Medium,0.08333333333333337,-0.33333333333333337,1.100574712643678,0.0612103346627364,-0.08333333333333331,False,620.0,0
0,1,-1,-7,0,-5.079999999999984,-2.539999999999992,1,-16.3421,-0.2632,-0.3684,Closed Stance,Medium,-0.0714285714285714,0.26315789473684215,-1.1680672268907564,-0.013873873873873843,0.07142857142857145,True,385.0,1
-1,0,0,0,0,-7.6200000000000045,-2.539999999999992,-8,60.0,0.0,0.0,Open Stance,Light,0.0,0.0,0.0967741935483871,-0.02836463223787178,0.0,False,420.0,0
0,0,0,0,-3,5.0800000000000125,10.159999999999997,3,-14.1667,0.6667,0.1667,Closed Stance,Light,-0.75,-0.6666666666666666,-0.27155172413793105,-0.02898550724637672,-0.25,False,240.0,1
2,0,0,0,-1,7.6200000000000045,7.619999999999976,6,-4.0,-1.6667,0.0,Closed Stance,Light,-1.0,-0.3333333333333333,-0.17647058823529413,0.0011741682974562018,0.0,False,-600.0,1
1,0,1,-3,1,-5.079999999999984,-12.699999999999989,-2,-7.1091,0.1273,-0.9818,Closed Stance,Heavy,0.2857142857142857,-0.036363636363636376,-0.4248366013071896,0.034209692746278164,-0.2857142857142857,False,660.0,0
0,2,0,-4,2,-7.6200000000000045,0.0,4,0.53,2.5,4.61,Closed Stance,Medium,-0.08333333333333337,0.0,-0.19724137931034486,-0.040000000000000036,0.08333333333333334,False,-404.0,1
0,1,0,1,0,-7.6200000000000045,-15.240000000000009,-4,-0.47,-0.2,0.29,Open Stance,Light,0.5,0.6,-0.15673981191222572,0.03934817170111293,-0.5,False,368.0,1
0,-3,1,1,2,-5.079999999999984,-2.5400000000000205,-4,-12.05,0.7,1.2,Closed Stance,Heavy,0.0,-0.30000000000000004,0.30256410256410254,-0.013328776486671079,0.0,False,480.0,0
0,-1,0,0,-2,-5.0800000000000125,-2.539999999999992,1,7.7143,0.2857,-2.0714,Closed Stance,Light,0.05555555555555558,-0.07142857142857151,-0.511904761904762,-0.01448692152917519,-0.05555555555555558,False,300.0,0
0,0,0,-1,0,-2.539999999999992,0.0,-10,-0.02,0.5,-3.43,Open Stance,Light,-0.3333333333333333,-0.6,-0.26350461133069825,-0.014285714285714235,-0.6666666666666666,False,-515.0,1
0,0,0,2,-1,5.0800000000000125,12.699999999999989,8,-12.3333,-0.5,-0.5,Closed Stance,Medium,0.5,-0.33333333333333337,0.06430568499534017,-0.04190476190476178,-0.5,False,-660.0,1
0,1,1,-2,-4,7.619999999999976,10.159999999999997,4,-4.6375,-0.625,0.0875,Open Stance,Light,-0.15000000000000002,0.17500000000000004,-0.6487179487179489,-0.012582159624413225,0.15,False,-400.0,0
0,0,0,0,0,-7.619999999999976,-12.700000000000017,-9,0.0,0.0,0.0,Closed Stance,Medium,0.0,0.0,0.0,0.028006267136702068,0.0,False,290.0,0
0,-1,0,1,0,-7.6200000000000045,-10.159999999999997,1,0.11,0.0,-3.36,Closed Stance,Light,0.5,-0.33333333333333337,0.028490028490028463,0.012402774858103816,-0.5,False,680.0,0
0,-1,-12,-7,-4,2.5400000000000205,-7.619999999999976,-7,-21.0476,-0.7143,-2.2381,Open Stance,Medium,-0.6875,-0.7619047619047619,-1.25,0.0547945205479452,-0.3125,False,720.0,0
0,5,3,0,-2,5.079999999999984,5.079999999999984,-7,0.36,0.1,-1.18,Open Stance,Heavy,-0.15555555555555556,0.33333333333333337,-0.12308998302207141,0.0012820512820512775,0.15555555555555556,True,-450.0,0
-1,0,0,-1,-1,2.539999999999992,-7.619999999999976,13,7.6667,-1.0,0.8333,Closed Stance,Heavy,-1.0,-0.41666666666666663,0.2948717948717949,0.04902597402597397,1.0,False,260.0,0
0,-2,-1,0,-1,-2.5400000000000205,-7.619999999999976,6,3.47,1.4,-0.29,Open Stance,Light,0.0,0.0,-0.13865546218487393,0.02681017612524439,0.0,False,398.0,1
