BlueTotalTitleBouts,RedTotalTitleBouts,LoseStreakDif,WinStreakDif,LongestWinStreakDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,FightStance,WeightGroup,RedTotalFights,BlueTotalFights,HeightReachRatioDif,RedFinishRate,BlueFinishRate,RedWinRatio,BlueWinRatio,RedKOPerFight,BlueKOPerFight,RedSubPerFight,BlueSubPerFight,IsFiveRoundFight,OddsDif,label
0,0,0,1,1,1,0,2.539999999999992,2.539999999999992,2.0,0.4,-0.4,-4.0,Closed Stance,Light,4,6,0.0009512937595129722,0.0,0.2,1.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,False,428.0,0
0,0,1,-2,-4,0,0,-2.539999999999992,-2.5400000000000205,-2.0,-1.23,1.3,0.46,Closed Stance,Light,27,9,-0.0004140786749480263,0.0,0.0,0.6296296296296297,0.4444444444444444,0.0,0.0,0.0,0.0,False,-284.0,0
0,0,0,-3,-1,0,5,-2.539999999999992,-15.240000000000009,5.0,-2.04,0.6,0.4,Closed Stance,Medium,4,18,0.0612103346627364,0.5,0.5833333333333334,1.0,0.6666666666666666,0.5,0.1111111111111111,0.0,0.2777777777777778,False,620.0,0
0,1,0,1,-2,-7,0,-5.079999999999984,-2.539999999999992,-1.0,-16.3421,-0.2632,-0.3684,Closed Stance,Medium,19,2,-0.013873873873873843,0.5714285714285714,0.5,0.7368421052631579,1.0,0.42105263157894735,0.5,0.0,0.0,True,385.0,1
0,0,-1,0,0,0,0,-7.6200000000000045,-2.539999999999992,8.0,60.0,0.0,0.0,Open Stance,Light,0,1,-0.02836463223787178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,420.0,0
0,0,0,0,-4,0,-3,5.0800000000000125,10.159999999999997,-3.0,-14.1667,0.6667,0.1667,Closed Stance,Light,6,1,-0.02898550724637672,0.75,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,False,240.0,1
0,0,2,0,-1,0,-1,7.6200000000000045,7.619999999999976,-6.0,-4.0,-1.6667,0.0,Closed Stance,Light,3,0,0.0011741682974562018,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,-600.0,1
1,0,1,0,-1,-3,1,-5.079999999999984,-12.699999999999989,2.0,-7.1091,0.1273,-0.9818,Closed Stance,Heavy,11,5,0.034209692746278164,0.7142857142857143,1.0,0.6363636363636364,0.6,0.45454545454545453,0.4,0.0,0.2,False,660.0,0
0,0,0,2,-2,-4,2,-7.6200000000000045,0.0,4.0,0.53,2.5,4.61,Closed Stance,Medium,9,6,-0.040000000000000036,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.0,0.1111111111111111,0.5,False,-404.0,1
0,0,0,1,1,1,0,-7.6200000000000045,-15.240000000000009,-4.0,-0.47,-0.2,0.29,Open Stance,Light,5,2,0.03934817170111293,0.0,0.5,0.4,1.0,0.0,0.5,0.0,0.0,False,368.0,1
