timestamp,model,duration_sec,Accuracy,Balanced Accuracy,Precision Red,Recall Red,F1 Red,Precision Blue,Recall Blue,F1 Blue,ROC AUC,Brier Score,MCC,Kappa,param_metric,param_n_neighbors,param_weights,param_C,param_gamma,param_kernel,param_penalty,param_solver,param_max_depth,param_n_estimators,param_learning_rate,param_var_smoothing,param_reg_param,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,param_validation_fraction,param_colsample_bytree,param_subsample,F1 Macro
2025-07-22 22:46:30,K-Nearest Neighbors,6.4,0.5945,0.5688,0.6303,0.7288,0.676,0.5215,0.4087,0.4583,0.6121,0.2415,0.1445,0.1418,manhattan,12.0,distance,,,,,,,,,,,,,,,,,,,,,
2025-07-22 22:50:51,Support Vector Machine,249.24,0.6628,0.6449,0.6916,0.7561,0.7224,0.6128,0.5337,0.5705,0.7097,0.2124,0.297,0.2951,,,,0.01,auto,linear,,,,,,,,,,,,,,,,,,
2025-07-22 22:51:17,Logistic Regression,26.03,0.6628,0.6441,0.6901,0.7604,0.7235,0.6143,0.5278,0.5678,0.705,0.2136,0.2962,0.2939,,,,5.0,,,l2,liblinear,,,,,,,,,,,,,,,,
2025-07-22 22:51:37,Random Forest,19.92,0.6511,0.6261,0.6712,0.7819,0.7223,0.6093,0.4702,0.5308,0.7051,0.2141,0.2659,0.2604,,,,,,,,,10.0,100.0,,,,,,,,,,,,,,
2025-07-22 22:51:54,AdaBoost,16.64,0.6553,0.6258,0.6675,0.8092,0.7315,0.6264,0.4425,0.5186,0.7007,0.2173,0.2719,0.2623,,,,,,,,,,100.0,0.01,,,,,,,,,,,,,
2025-07-22 22:51:56,Naive Bayes,2.18,0.617,0.6219,0.7019,0.5911,0.6417,0.5358,0.6528,0.5886,0.6618,0.2568,0.2408,0.2367,,,,,,,,,,,,1e-05,,,,,,,,,,,,
2025-07-22 22:54:13,Gradient Boosting,136.55,0.6603,0.6364,0.6795,0.7848,0.7284,0.6212,0.4881,0.5467,0.7068,0.2121,0.2865,0.2812,,,,,,,,,3.0,50.0,0.1,,,,,,,,,,,,,
2025-07-22 22:54:26,Extra Trees,12.58,0.647,0.6148,0.6582,0.8149,0.7282,0.6183,0.4147,0.4964,0.6697,0.2236,0.252,0.2406,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,
2025-07-22 22:54:28,Quadratic Discriminant Analysis,2.13,0.6611,0.6449,0.6933,0.7461,0.7187,0.6075,0.5437,0.5738,0.6976,0.2204,0.2952,0.294,,,,,,,,,,,,,1.0,,,,,,,,,,,
2025-07-22 22:59:37,Neural Network,309.13,0.6536,0.6433,0.6993,0.7073,0.7033,0.5887,0.5794,0.584,0.6968,0.2172,0.2873,0.2873,,,,,,,,adam,,,adaptive,,,logistic,0.001,32.0,True,"(50, 50)",0.01,0.8,0.2,,,
2025-07-22 23:00:34,XGBoost,57.13,0.6578,0.6332,0.6765,0.7862,0.7273,0.6189,0.4802,0.5408,0.7068,0.2122,0.2806,0.2749,,,,,,,,,3.0,50.0,0.1,,,,,,,,,,,0.8,1.0,
2025-07-22 23:08:57,K-Nearest Neighbors,6.33,0.5945,0.5688,0.6303,0.7288,0.676,0.5215,0.4087,0.4583,0.6121,0.2415,0.1445,0.1418,manhattan,12.0,distance,,,,,,,,,,,,,,,,,,,,,
2025-07-22 23:13:08,Support Vector Machine,251.25,0.6628,0.6449,0.6916,0.7561,0.7224,0.6128,0.5337,0.5705,0.7097,0.2124,0.297,0.2951,,,,0.01,auto,linear,,,,,,,,,,,,,,,,,,
2025-07-22 23:13:34,Logistic Regression,25.42,0.6628,0.6441,0.6901,0.7604,0.7235,0.6143,0.5278,0.5678,0.705,0.2136,0.2962,0.2939,,,,5.0,,,l2,liblinear,,,,,,,,,,,,,,,,
2025-07-22 23:13:53,Random Forest,19.46,0.6628,0.6383,0.6802,0.7905,0.7313,0.6266,0.4861,0.5475,0.7045,0.2143,0.2914,0.2855,,,,,,,,,10.0,50.0,,,,,,,,,,,,,,
2025-07-22 23:14:10,AdaBoost,16.47,0.6553,0.6258,0.6675,0.8092,0.7315,0.6264,0.4425,0.5186,0.7007,0.2173,0.2719,0.2623,,,,,,,,,,100.0,0.01,,,,,,,,,,,,,
2025-07-22 23:14:12,Naive Bayes,2.16,0.617,0.6219,0.7019,0.5911,0.6417,0.5358,0.6528,0.5886,0.6618,0.2568,0.2408,0.2367,,,,,,,,,,,,1e-05,,,,,,,,,,,,
2025-07-22 23:16:48,Gradient Boosting,155.87,0.6603,0.6364,0.6795,0.7848,0.7284,0.6212,0.4881,0.5467,0.707,0.2121,0.2865,0.2812,,,,,,,,,3.0,50.0,0.1,,,,,,,,,,,,,
2025-07-22 23:17:01,Extra Trees,12.77,0.6278,0.5978,0.6481,0.7848,0.7099,0.5798,0.4107,0.4808,0.6587,0.2265,0.2111,0.2037,,,,,,,,,,100.0,,,,,,,,,,,,,,
2025-07-22 23:17:03,Quadratic Discriminant Analysis,2.22,0.657,0.641,0.6908,0.7403,0.7147,0.6013,0.5417,0.5699,0.6959,0.2208,0.287,0.2859,,,,,,,,,,,,,0.9,,,,,,,,,,,
2025-07-22 23:28:04,Neural Network,660.95,0.6536,0.6433,0.6993,0.7073,0.7033,0.5887,0.5794,0.584,0.6968,0.2172,0.2873,0.2873,,,,,,,,adam,,,adaptive,,,logistic,0.001,32.0,True,"(50, 50)",0.01,0.2,0.2,,,
2025-07-22 23:28:53,XGBoost,48.84,0.6578,0.6332,0.6765,0.7862,0.7273,0.6189,0.4802,0.5408,0.7068,0.2122,0.2806,0.2749,,,,,,,,,3.0,50.0,0.1,,,,,,,,,,,0.8,1.0,
2025-07-22 23:29:00,K-Nearest Neighbors (without odds),6.11,0.5254,0.5101,0.5886,0.6055,0.5969,0.4318,0.4147,0.4231,0.5058,0.3295,0.0203,0.0202,manhattan,3.0,distance,,,,,,,,,,,,,,,,,,,,,
2025-07-22 23:33:16,Support Vector Machine (without odds),255.81,0.5987,0.5551,0.6147,0.8264,0.705,0.5417,0.2837,0.3724,0.585,0.2364,0.1312,0.1179,,,,2.0,auto,rbf,,,,,,,,,,,,,,,,,,
2025-07-22 23:33:42,Logistic Regression (without odds),26.37,0.6278,0.589,0.6377,0.8307,0.7215,0.5973,0.3472,0.4391,0.6291,0.2297,0.2045,0.1889,,,,11.0,,,l2,liblinear,,,,,,,,,,,,,,,,
2025-07-22 23:34:02,Random Forest (without odds),19.58,0.5903,0.5548,0.6169,0.7762,0.6874,0.5185,0.3333,0.4058,0.5939,0.239,0.1218,0.1152,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,
2025-07-22 23:34:18,AdaBoost (without odds),15.83,0.607,0.5677,0.624,0.8121,0.7057,0.5544,0.3234,0.4085,0.6158,0.2348,0.1555,0.1438,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,
